CHR	BP_START_HG38	BP_END_HG38	SAMTOOLS_START_HG38	SAMTOOLS_END_HG38	IBD2R	GENE
1	939399	939508	939399	939508	0.3018	SAMD11
1	1184656	1184980	1184731	1184905	0.9377	TTLL10
1	1310773	1310936	1310848	1310861	0.3304	PUSL1
1	1708835	1708932	1708835	1708932	0.5314	CDK11A
1	1955019	1955089	1955019	1955089	0.7338	CFAP74
1	7829874	7830126	7829874	7830126	0.5431	PER3
1	8358581	8358640	8358581	8358640	0.3328	RERE
1	16564824	16564913	16564824	16564913	0.8177	NBPF1
1	16929861	16929914	16929861	16929914	0.8676	CROCC
1	21479861	21483571	21479861	21483571	0.8611	NBPF3
1	22644065	22644094	22644065	22644094	0.2535	C1QC
1	29148845	29148879	29148845	29148879	0.3249	SRSF4
1	33372327	33372398	33372327	33372398	0.2522	PHC2
1	39413249	39413803	39413324	39413728	0.3312	MACF1
1	62209956	62210059	62209956	62210059	0.5156	L1TD1
1	84574316	84574349	84574316	84574349	0.3657	AL359762.1,CTBS
1	109715242	109715289	109715242	109715289	0.2526	GSTM5
1	111414874	111415059	111414874	111415059	0.7597	OVGP1
1	120823356	120828299	120823356	120828299	0.9437	NBPF26
1	120832881	120832968	120832881	120832968	0.6615	NBPF26
1	145292479	145393778	145292554	145393703	0.6609	NBPF20
1	146067278	146126922	146067353	146126847	0.5750	AC239799.1,NBPF10
1	148533955	148577877	148533955	148577877	0.6300	NBPF14
1	152111168	152112275	152111243	152112200	0.6293	TCHH
1	152111917	152112225	152111917	152112225	0.7313	TCHH
1	152213209	152221052	152213209	152221052	0.9700	HRNR
1	152213254	152220894	152213254	152220894	0.9700	HRNR
1	152303180	152314028	152303180	152314028	0.7104	FLG,FLG-AS1
1	152354133	152356528	152354133	152356528	0.3810	FLG2
1	152355953	152356015	152355953	152356015	0.3488	FLG2
1	152787451	152787493	152787451	152787493	0.4768	LCE1E
1	152797832	152797866	152797832	152797866	0.9339	LCE1D
1	152797908	152797991	152797908	152797991	0.9418	LCE1D
1	152805366	152805443	152805366	152805443	0.3148	LCE1C
1	152910326	152910505	152910401	152910430	0.6655	IVL
1	152910520	152910577	152910520	152910577	0.6151	IVL
1	153003183	153003310	153003183	153003310	0.7483	SPRR3
1	153003183	153003456	153003183	153003456	0.7456	SPRR3
1	153032447	153032501	153032447	153032501	0.5559	SPRR1B
1	153070700	153070779	153070700	153070779	0.3047	SPRR2B
1	153093612	153093691	153093612	153093691	0.5652	SPRR2E
1	153112594	153112672	153112594	153112672	0.3209	SPRR2F
1	153261103	153261137	153261103	153261137	0.2885	LOR
1	155188676	155192051	155188751	155191976	0.7444	MUC1
1	155190865	155192051	155190940	155191976	0.2915	MUC1
1	160240084	160240123	160240084	160240123	0.3094	DCAF8
1	160680739	160680822	160680739	160680822	0.2682	CD48
1	162767283	162767325	162767283	162767325	0.2940	DDR2
1	174799933	174799996	174799933	174799996	0.2697	RABGAP1L
1	179534854	179534923	179534854	179534923	0.3141	AXDND1
1	185156572	185156644	185156572	185156644	0.2824	TRMT1L
1	186870484	186870943	186870559	186870868	0.2560	PLA2G4A
1	196789825	196789868	196789825	196789868	0.5788	CFHR3
1	201208696	201211905	201208771	201211830	0.4901	IGFN1
1	201209553	201211638	201209628	201211563	0.5380	IGFN1
1	227921075	227921570	227921150	227921495	0.2651	WNT9A
1	227921340	227921578	227921415	227921503	0.3288	WNT9A
1	240207539	240208435	240207539	240208435	0.3148	FMN2
1	240207735	240208345	240207810	240208270	0.2818	FMN2
1	248361581	248361748	248361581	248361748	0.8031	OR2T4
1	248453730	248453877	248453730	248453877	0.7572	OR2T2
1	248638182	248638329	248638182	248638329	0.7104	OR2T35
2	3458024	3458089	3458024	3458089	0.5091	TRAPPC12
2	46480670	46480767	46480670	46480767	0.2849	TMEM247
2	70940874	70940930	70940874	70940930	0.2750	AC007040.2
2	73782647	73810216	73782647	73810216	0.9290	C2orf78
2	96115233	96115271	96115233	96115271	0.3474	ADRA2B
2	97178831	97219228	97178831	97219228	0.8535	ANKRD36
2	97536320	97562006	97536320	97562006	0.9032	ANKRD36B
2	109794810	109794836	109794810	109794836	0.3406	RGPD5
2	112138727	112140354	112138802	112140279	0.3223	FBLN7
2	113499350	113499392	113499350	113499392	0.8290	FOXD4L1
2	117836384	117836527	117836384	117836527	0.5596	AC009404.1
2	130120141	130120458	130120141	130120458	0.3973	POTEF
2	130141109	130141183	130141109	130141183	0.8844	CCDC74B
2	130508938	130509116	130508938	130509116	0.7714	POTEI
2	130611590	130611796	130611590	130611796	0.6953	POTEJ
2	131218460	131218777	131218535	131218702	0.6245	POTEE
2	131531777	131531851	131531777	131531851	0.9175	CCDC74A
2	151577914	151609576	151577914	151609576	0.8904	NEB
2	174427853	174427887	174427853	174427887	0.4551	SCRN3
2	178653488	178654118	178653563	178654043	0.6771	TTN
2	178657748	178658378	178657748	178658378	0.7701	TTN
2	178661991	178662639	178662066	178662564	0.7845	TTN
2	216109142	216109283	216109142	216109283	0.6806	XRCC5
2	230996318	230996421	230996318	230996421	0.6277	SPATA3
2	232847506	232847571	232847506	232847571	0.5425	GIGYF2
2	237334592	237334634	237334592	237334634	0.4030	COL6A3
2	241810984	241811015	241810984	241811015	0.2840	AC131097.3,NEU4
3	10260375	10260441	10260375	10260441	0.3704	AC022384.1
3	31989916	31990973	31989991	31990898	0.4647	ZNF860
3	31990486	31990618	31990486	31990618	0.6421	ZNF860
3	31990493	31991011	31990493	31991011	0.5218	ZNF860
3	114236334	114236701	114236334	114236701	0.4560	ZNF80
3	121632447	121632485	121632447	121632485	0.3345	HCLS1
3	195725121	195725800	195725196	195725725	0.9649	MUC20,MUC20-OT1
3	195778857	195788625	195778932	195788550	0.9202	MUC4
3	195778917	195778997	195778917	195778997	0.6024	MUC4
3	195779838	195779915	195779838	195779915	0.9237	MUC4
3	195780504	195780575	195780504	195780575	0.6325	MUC4
3	195780696	195780767	195780696	195780767	0.8675	MUC4
3	195781699	195781823	195781699	195781823	0.8827	MUC4
3	195782898	195783022	195782898	195783022	0.9057	MUC4
3	195783307	195783523	195783307	195783523	0.9333	MUC4
3	195784982	195785099	195784982	195785099	0.8537	MUC4
3	195785605	195785725	195785605	195785725	0.9488	MUC4
3	195785941	195786016	195785941	195786016	0.9283	MUC4
3	195788149	195788272	195788149	195788272	0.7003	MUC4
4	85988	87435	85988	87435	0.4279	ZNF595
4	744683	747723	744683	747723	0.2695	PCGF3
4	904069	904665	904144	904590	0.5942	GAK
4	1394531	1395705	1394606	1395630	0.7536	UVSSA
4	1394880	1394996	1394880	1394996	0.6971	UVSSA
4	1395192	1395246	1395192	1395246	0.8175	UVSSA
4	1395374	1395427	1395374	1395427	0.6516	UVSSA
4	2080411	2080571	2080411	2080571	0.5145	POLN
4	56314672	56314732	56314672	56314732	0.3619	KIAA1211
4	56931010	56931259	56931010	56931259	0.3175	REST
4	70158677	70158853	70158677	70158853	0.2648	PRR27
4	70481274	70481521	70481349	70481446	0.3192	MUC7
4	87614315	87616446	87614390	87616371	0.7121	DSPP
4	87615622	87616064	87615697	87615989	0.9458	DSPP
4	139889904	139889990	139889904	139889990	0.6845	MAML3
4	164197085	164197166	164197085	164197166	0.2851	ANP32C
5	840887	841564	840887	841564	0.9247	ZDHHC11
5	841765	841830	841765	841830	0.9172	ZDHHC11
5	16702926	16702994	16702926	16702994	0.2862	MYO10
5	23526745	23527698	23526820	23527623	0.5824	PRDM9
5	80654881	80654936	80654881	80654936	0.7267	DHFR,MSH3
5	100885437	100885471	100885437	100885471	0.4496	ST8SIA4
5	113488331	113488374	113488331	113488374	0.5093	MCC
5	160091996	160092048	160091996	160092048	0.5168	PWWP2A
5	171392935	171392979	171392935	171392979	0.4381	NPM1
5	178712144	178712528	178712219	178712453	0.3369	ZNF354A
