CHR	BP_START_HG38	BP_END_HG38	SAMTOOLS_START_HG38	SAMTOOLS_END_HG38	IBD2R	GENE
6	349199	349238	349199	349238	0.4049	DUSP22
6	3850080	3850125	3850080	3850125	0.2537	FAM50B
6	26055811	26055858	26055811	26055858	0.3317	HIST1H1C
6	29792566	29792606	29792566	29792606	0.6726	HCG4,HLA-V
6	30949298	30951921	30949373	30951846	0.2964	MUCL3
6	30951952	30952165	30952027	30952090	0.2590	MUCL3
6	30986289	30987497	30986364	30987422	0.4705	MUC21
6	30986487	30987490	30986487	30987490	0.4960	MUC21
6	31025491	31025754	31025491	31025754	0.4206	MUC22
6	31025571	31025595	31025571	31025595	0.3034	MUC22
6	31025688	31025826	31025688	31025826	0.4508	MUC22
6	31025948	31029989	31025948	31029989	0.5700	MUC22
6	31138658	31138711	31138658	31138711	0.3321	PSORS1C1
6	31997311	31997340	31997311	31997340	0.6573	C4A
6	32030048	32030077	32030048	32030077	0.8263	C4B
6	32038424	32038461	32038424	32038461	0.8823	CYP21A2
6	32041019	32041052	32041019	32041052	0.5470	CYP21A2
6	32293203	32293774	32293203	32293774	0.2601	C6orf10
6	32293702	32293788	32293702	32293788	0.2692	C6orf10
6	32757791	32757832	32757791	32757832	0.7071	HLA-DQB2
6	44250332	44250380	44250332	44250380	0.4455	HSP90AB1
6	81752011	81752072	81752011	81752072	0.6190	TENT5A
6	109270329	109270361	109270329	109270361	0.3655	CCDC162P
6	139135490	139135652	139135565	139135577	0.2654	HECA
6	143189398	143189440	143189398	143189440	0.3604	AIG1
6	159239748	159239789	159239748	159239789	0.7463	FNDC1
6	160605062	160647661	160605137	160647586	0.9182	LPA
6	167951656	167951695	167951656	167951695	0.3089	AFDN
6	167976168	167976621	167976243	167976546	0.5769	HGC6.3
6	168029517	168029722	168029517	168029722	0.6617	KIF25
6	168038715	168038786	168038715	168038786	0.3391	KIF25
6	168064933	168064969	168064933	168064969	0.3961	FRMD1
6	168065365	168065444	168065365	168065444	0.5437	FRMD1
6	168065636	168065805	168065636	168065805	0.5687	FRMD1
6	168078671	168078891	168078671	168078891	0.3554	FRMD1
6	168078837	168078899	168078837	168078899	0.3152	FRMD1
6	169664851	169665154	169664926	169665079	0.8906	WDR27
